Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC106784085	LOC106784085	NW_014569547.1	-	52989	57536	0.000000	0.000000	0.000000
gene-LOC106783879	LOC106783879	NW_014569547.1	+	57733	165446	0.000000	0.000000	0.000000
gene-LOC106784012	LOC106784012	NW_014569547.1	-	165628	169649	0.000000	0.000000	0.000000
gene-LOC106783940	LOC106783940	NW_014569547.1	-	169879	171308	0.000000	0.000000	0.000000
gene-LOC106783811	LOC106783811	NW_014569547.1	+	171388	174397	0.000000	0.000000	0.000000
gene-LOC106792039	LOC106792039	NW_014569547.1	+	177200	179790	0.000000	0.000000	0.000000
gene-LOC106783577	LOC106783577	NW_014569547.1	+	181746	184277	0.000000	0.000000	0.000000
gene-LOC106792109	LOC106792109	NW_014569547.1	+	185758	188587	0.000000	0.000000	0.000000
gene-LOC106792180	LOC106792180	NW_014569547.1	+	188867	191996	0.000000	0.000000	0.000000
gene-LOC106790239	LOC106790239	NW_014569547.1	+	192424	198441	0.000000	0.000000	0.000000
gene-LOC106793447	LOC106793447	NW_014569547.1	+	214575	226272	0.000000	0.000000	0.000000
gene-LOC106793296	LOC106793296	NW_014569547.1	+	226579	292274	0.000000	0.000000	0.000000
gene-LOC106793534	LOC106793534	NW_014569547.1	-	301976	307177	0.000000	0.000000	0.000000
gene-LOC106785363	LOC106785363	NW_014569547.1	-	307772	417909	0.000000	0.000000	0.000000
gene-LOC106789119	LOC106789119	NW_014569547.1	-	517588	600078	0.000000	0.000000	0.000000
gene-LOC106790448	LOC106790448	NW_014569547.1	+	692122	841696	0.000000	0.000000	0.000000
gene-LOC106790650	LOC106790650	NW_014569547.1	+	873624	941482	0.000000	0.000000	0.000000
gene-LOC106790958	LOC106790958	NW_014569547.1	+	943832	946213	0.000000	0.000000	0.000000
gene-LOC106793585	LOC106793585	NW_014569547.1	+	956885	967498	0.000000	0.000000	0.000000
gene-LOC106793045	LOC106793045	NW_014569547.1	-	980318	986768	0.000000	0.000000	0.000000
gene-LOC106793239	LOC106793239	NW_014569547.1	+	989172	995016	1.255328	36.353065	78.169113
gene-LOC106792958	LOC106792958	NW_014569547.1	-	995264	1003957	2.047268	59.286865	127.483109
gene-LOC106792893	LOC106792893	NW_014569547.1	+	996097	999303	0.778921	22.556787	48.503311
gene-LOC106793354	LOC106793354	NW_014569547.1	-	1006480	1010932	0.000000	0.000000	0.000000
gene-LOC106793152	LOC106793152	NW_014569547.1	-	1012140	1018159	0.000000	0.000000	0.000000
gene-LOC106793188	LOC106793188	NW_014569547.1	-	1018351	1020180	0.000000	0.000000	0.000000
gene-LOC106793282	LOC106793282	NW_014569547.1	+	1020483	1023859	1.844961	53.428257	114.885490
gene-LOC106793092	LOC106793092	NW_014569547.1	-	1025898	1031127	0.000000	0.000000	0.000000
gene-LOC106785249	LOC106785249	NW_014569547.1	-	1042671	1102670	0.000000	0.000000	0.000000
gene-LOC106785316	LOC106785316	NW_014569547.1	-	1103804	1105333	0.445783	12.909436	27.758850
gene-LOC106793297	LOC106793297	NW_014569547.1	-	1113940	1120165	0.000000	0.000000	0.000000
gene-LOC106793424	LOC106793424	NW_014569547.1	+	1120698	1125601	0.000000	0.000000	0.000000
gene-LOC106788563	LOC106788563	NW_014569547.1	+	1129339	1165918	0.066273	6.774035	14.566044
gene-LOC106789066	LOC106789066	NW_014569547.1	-	1140299	1143423	0.000000	0.000000	0.000000
gene-LOC106793085	LOC106793085	NW_014569547.1	-	1168750	1175820	0.977925	28.319746	60.895267
gene-LOC106793508	LOC106793508	NW_014569547.1	-	1176005	1178279	0.000000	0.000000	0.000000
gene-LOC106793065	LOC106793065	NW_014569547.1	-	1182707	1186934	0.000000	0.000000	0.000000
gene-LOC106794044	LOC106794044	NW_014569547.1	-	1189428	1190434	0.000000	0.000000	0.000000
gene-LOC106793361	LOC106793361	NW_014569547.1	-	1190910	1195866	0.000000	0.000000	0.000000
gene-LOC106793683	LOC106793683	NW_014569547.1	-	1193350	1194315	0.000000	0.000000	0.000000
