Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vcabro1a003582	-	C2832210	+	145	377	4.201717	2.402720	4.307562
Vcabro1a012170	-	C2833028	-	3	502	63.081013	36.072399	64.670074
Vcabro1a012639	-	C2835282	-	294	443	2.666667	1.524913	2.733843
Vcabro1a001314	-	C2835622	-	74	289	7.092593	4.055846	7.271261
Vcabro1a011822	-	C2835868	+	7	509	489.177582	279.732513	501.500366
Vcabro1a005082	-	C2836946	+	122	422	0.408638	0.233677	0.418932
Vcabro1a002859	-	C2837040	-	304	470	5.000000	2.859212	5.125954
Vcabro1a004321	-	C2838462	+	239	437	0.633166	0.362071	0.649116
Vcabro1a006715	-	C2838846	-	128	414	53.944252	30.847612	55.303154
Vcabro1a002980	-	C2840340	+	237	452	97.898148	55.982315	100.364281
Vcabro1a000096	-	C2840686	+	36	523	226.519180	129.533279	232.225388
Vcabro1a004799	-	C2841086	-	71	498	6.885514	3.937429	7.058966
Vcabro1a004588	-	C2842214	-	40	526	41.025002	23.459839	42.058453
Vcabro1a012173	-	C2846366	-	1	432	2.729167	1.560654	2.797917
Vcabro1a004802	-	C2848368	-	202	496	4.315254	2.467646	4.423959
Vcabro1a016233	-	C2849450	+	131	377	5.639676	3.225006	5.781744
Vcabro1a003787	-	C2849826	-	189	538	14.282857	8.167543	14.642654
Vcabro1a004688	-	C2854874	+	51	558	1.494094	0.854386	1.531731
Vcabro1a013437	-	C2855160	-	6	567	194.353210	111.139420	199.249130
Vcabro1a006696	-	C2855830	-	2	528	155.399994	88.864311	159.314651
Vcabro1a012648	-	C2856508	+	285	474	0.473684	0.270873	0.485617
Vcabro1a012451	-	C2856828	+	263	456	3.257732	1.862909	3.339797
Vcabro1a014506	-	C2859228	+	9	382	0.803030	0.459207	0.823259
Vcabro1a013865	-	C2859426	+	189	508	12.596875	7.203428	12.914201
Vcabro1a015469	-	C2859654	-	143	393	65.103584	37.228992	66.743599
Vcabro1a002340	-	C2861192	+	364	578	85.758141	49.040146	87.918465
Vcabro1a013199	-	C2861418	-	5	538	7.220974	4.129260	7.402876
Vcabro1a002116	-	C2861840	+	154	472	100.631798	57.545532	103.166801
Vcabro1a001596	-	C2862504	+	104	517	0.000000	0.000000	0.000000
Vcabro1a004815	-	C2863398	+	1	595	202.948776	116.054718	208.061234
Vcabro1a013864	-	C2864508	+	281	532	3.309524	1.892526	3.392894
Vcabro1a001441	-	C2865780	+	20	581	27.627079	15.798337	28.323029
Vcabro1a007435	-	C2866830	-	17	494	18.558577	10.612582	19.026081
Vcabro1a000051	-	C2869740	+	16	621	123.995049	70.905632	127.118584
Vcabro1a000463	-	C2871358	-	21	474	1261.941650	721.631836	1293.730957
Vcabro1a002765	-	C2873212	+	224	572	5.787966	3.309805	5.933770
Vcabro1a013819	-	C2873314	+	1	153	1.568627	0.897007	1.608142
Vcabro1a003350	-	C2873972	+	101	581	241.149719	137.899643	247.224472
Vcabro1a009321	-	C2874460	+	76	548	0.424947	0.243003	0.435652
Vcabro1a003042	-	C2876850	+	14	620	0.000000	0.000000	0.000000
Vcabro1a010937	-	C2877118	-	34	373	0.385294	0.220327	0.395000
Vcabro1a002037	-	C2877372	-	127	496	0.000000	0.000000	0.000000
Vcabro1a004342	-	C2879696	-	123	455	1.546547	0.884381	1.585506
Vcabro1a002708	-	C2880440	+	236	507	2.198529	1.257212	2.253912
Vcabro1a001607	-	C2881240	+	249	579	86.486404	49.456596	88.665070
Vcabro1a009647	-	C2884254	-	75	501	0.545667	0.312036	0.559413
Vcabro1a004419	-	C2885026	-	37	681	39.961254	22.851542	40.967915
Vcabro1a003991	-	C2886328	+	232	471	1.129167	0.645706	1.157612
Vcabro1a008197	-	C2886494	-	62	678	35.515316	20.309164	36.409977
Vcabro1a005713	-	C2889154	-	113	345	0.798283	0.456492	0.818392
Vcabro1a012450	-	C2889772	+	1	704	13570.562500	7760.223633	13912.416016
Vcabro1a013622	-	C2889824	-	138	674	19.357542	11.069465	19.845175
Vcabro1a015599	-	C2890274	-	34	569	98.053719	56.071278	100.523773
Vcabro1a006033	-	C2891614	-	59	492	16.359447	9.355026	16.771555
Vcabro1a007569	-	C2892632	+	358	589	10.375000	5.932866	10.636354
Vcabro1a014339	-	C2893042	-	120	702	7.303602	4.176510	7.487586
Vcabro1a015601	-	C2893366	-	7	718	36.650280	20.958185	37.573532
Vcabro1a002215	-	C2893424	+	23	701	11.138302	6.369354	11.418885
Vcabro1a016136	-	C2894780	-	46	722	5.779911	3.305198	5.925512
Vcabro1a002460	-	C2895268	+	268	488	41.846153	23.929407	42.900291
Vcabro1a015257	-	C2897004	-	169	711	118.432434	67.724693	121.415840
Vcabro1a006333	-	C2897536	-	483	697	7.706977	4.407176	7.901122
Vcabro1a011132	-	C2897760	+	217	375	2.000000	1.143685	2.050382
Vcabro1a001889	-	C2898688	+	6	744	6.760487	3.865933	6.930789
Vcabro1a003753	-	C2898748	-	119	632	1.533074	0.876677	1.571693
Vcabro1a001149	-	C2903060	+	3	746	2.298387	1.314315	2.356285
Vcabro1a015519	-	C2903540	+	5	771	20.092787	11.489908	20.598940
Vcabro1a007825	-	C2904276	-	318	528	0.715640	0.409233	0.733668
Vcabro1a016224	-	C2904910	-	6	773	61.221169	35.008862	62.763378
Vcabro1a002150	-	C2905454	+	188	548	24649.312500	14095.523438	25270.248047
Vcabro1a005184	-	C2906658	-	173	344	0.500000	0.285921	0.512595
Vcabro1a000824	-	C2908208	-	1	796	84.868790	48.531578	87.006706
Vcabro1a004336	-	C2909392	-	93	350	23.984497	13.715353	24.588688
Vcabro1a007957	-	C2914710	+	14	826	15.120542	8.646567	15.501441
Vcabro1a012662	-	C2916696	+	28	717	0.530435	0.303325	0.543797
Vcabro1a000884	-	C2918516	-	17	590	29.250872	16.726891	29.987726
Vcabro1a013663	-	C2921552	-	60	635	0.204861	0.117148	0.210022
Vcabro1a001439	-	C2924996	-	137	735	21.995832	12.578151	22.549925
Vcabro1a012797	-	C2925458	-	342	764	2.891253	1.653341	2.964086
Vcabro1a010701	-	C2926030	+	486	792	0.755700	0.432141	0.774737
Vcabro1a000111	-	C2926738	-	76	901	23.811773	13.616582	24.411612
Vcabro1a007990	-	C2929658	+	544	745	0.762376	0.435959	0.781581
Vcabro1a008343	-	C2929802	+	1	884	1.002262	0.573136	1.027510
Vcabro1a015726	-	C2930694	-	191	542	57.800949	33.053036	59.257000
Vcabro1a001304	-	C2930714	+	48	849	261.103638	176.931107	317.199554
Vcabro1a001989	-	C2933186	-	2	947	15.886452	9.084547	16.286644
Vcabro1a002342	-	C2936798	-	115	648	6.009740	3.436624	6.161130
Vcabro1a009216	-	C2937028	+	20	974	65.155281	37.258556	66.796593
Vcabro1a007116	-	C2939944	+	299	797	31.531729	18.031181	32.326038
Vcabro1a005318	-	C2941106	+	2	1009	215.857147	123.436279	221.294769
Vcabro1a012690	-	C2942078	+	53	1023	78.233780	44.737396	80.204552
Vcabro1a009452	-	C2942320	+	2	907	68.004608	38.887924	69.717697
Vcabro1a005236	-	C2942374	-	267	476	13.419047	7.673581	13.757084
Vcabro1a015488	-	C2944172	-	342	541	0.130000	0.074340	0.133275
Vcabro1a013350	-	C2944354	+	204	621	0.000000	0.000000	0.000000
Vcabro1a006179	-	C2945522	-	8	1024	14.520755	8.303584	14.886545
Vcabro1a010950	-	C2945898	+	180	579	72.932503	41.705898	74.769737
Vcabro1a013442	-	C2947022	+	22	961	48.087944	27.498728	49.299320
Vcabro1a014743	-	C2947318	+	9	990	0.000000	0.000000	0.000000
Vcabro1a014983	-	C2949958	+	4	1059	108.823860	62.230103	111.565224
Vcabro1a016297	-	C2951176	+	140	1014	30.342592	17.351183	31.106947
Vcabro1a007303	-	C2958668	-	132	942	19.609047	11.213285	20.103014
Vcabro1a007827	-	C2962574	+	4	1222	1124.000000	642.750854	1152.314453
Vcabro1a008699	-	C2962622	-	77	1139	345.147888	197.370224	353.842468
Vcabro1a015972	-	C2967578	-	561	863	0.000000	0.000000	0.000000
Vcabro1a001316	-	C2968302	+	464	1272	13.065513	7.471415	13.394644
Vcabro1a006717	-	C2968654	+	1	1297	1599.899170	1202.462891	2155.758057
Vcabro1a014921	-	C2970252	+	239	1205	0.000000	0.000000	0.000000
Vcabro1a008208	-	C2970296	+	615	1234	21.748091	12.436481	22.295942
Vcabro1a009031	-	C2970322	-	76	1238	0.000000	0.000000	0.000000
Vcabro1a012675	-	C2970646	+	208	1092	44.471676	27.747168	49.744720
Vcabro1a009591	-	C2972642	-	228	1226	47.938923	27.413511	49.146545
Vcabro1a011326	-	C2973474	-	105	327	0.892377	0.510299	0.914857
Vcabro1a011380	-	C2974790	+	1	1379	206.571411	118.126297	211.775116
Vcabro1a011381	-	C2974790	-	952	1337	1.240046	0.709111	1.271284
Vcabro1a003557	-	C2975086	+	20	1283	4.339776	2.481668	4.449099
Vcabro1a013310	-	C2975364	+	671	1330	17.552382	10.037197	17.994541
Vcabro1a000323	-	C2979978	+	1025	1311	0.278746	0.159399	0.285768
Vcabro1a012263	-	C2980376	-	113	404	28.363014	16.219175	29.077501
Vcabro1a010662	-	C2981076	-	465	1470	414.330261	236.931625	424.767578
Vcabro1a007745	-	C2989668	-	12	1629	121.272560	69.348793	124.327515
Vcabro1a004244	-	C2990188	+	48	1639	20.949121	11.979596	21.476849
Vcabro1a006575	-	C2990794	+	521	779	24.961388	14.273981	25.590185
Vcabro1a011220	-	C2990956	+	2	1656	76.189728	43.568520	78.109009
Vcabro1a016641	-	C2991600	-	185	1662	422.080261	241.363403	432.712799
Vcabro1a005047	-	C2991748	-	276	1583	27.601683	15.783813	28.296991
Vcabro1a015476	-	C2994238	+	712	1648	11.034151	6.309796	11.312110
Vcabro1a009013	-	C2995360	-	4	1706	16.078627	9.194441	16.483662
Vcabro1a006957	-	C2995616	-	967	1473	86.583817	49.512302	88.764931
Vcabro1a009571	-	C2997338	-	125	1754	51.402714	29.394255	52.697590
Vcabro1a009776	-	C2998748	+	38	1489	0.000000	0.000000	0.000000
Vcabro1a012107	-	C3000222	+	203	523	0.224299	0.128264	0.229949
Vcabro1a014677	-	C3000896	-	1	1848	240.872849	137.741318	246.940628
Vcabro1a001827	-	C3003546	-	1005	1637	73.829834	42.219032	75.689667
Vcabro1a008893	-	C3003675	-	55	1890	14.637255	8.370203	15.005980
Vcabro1a012703	-	C3003899	+	2	1975	99.043633	56.637352	101.538620
Vcabro1a003014	-	C3005021	+	250	680	3.222222	1.842603	3.303392
Vcabro1a008033	-	C3006493	+	55	741	13.203390	7.550259	13.535995
Vcabro1a008034	-	C3006493	+	1136	1402	9.781250	5.593334	10.027648
Vcabro1a005275	-	C3007271	+	79	1741	0.000000	0.000000	0.000000
Vcabro1a008342	-	C3007341	-	58	2081	90.127739	57.073250	102.320099
Vcabro1a003478	-	C3007461	-	53	2037	21.073189	12.050544	21.604038
Vcabro1a012568	-	C3008135	-	7	2029	35.694111	20.411409	36.593277
Vcabro1a003218	-	C3011915	-	486	2225	3.609195	2.063891	3.700114
Vcabro1a006412	-	C3014345	+	24	2309	12.996938	8.358740	14.985428
Vcabro1a006488	-	C3015561	-	6	2107	38.402138	22.107182	39.633434
Vcabro1a016324	-	C3015681	-	16	2200	71.652298	40.973824	73.457275
Vcabro1a004066	-	C3016661	+	17	2367	7.820187	4.471915	8.017184
Vcabro1a002390	-	C3017759	+	86	2518	59.217014	39.934723	71.594391
Vcabro1a001505	-	C3018369	+	2107	2292	1.682796	0.962294	1.725187
Vcabro1a009459	-	C3018793	+	45	2572	0.000000	0.000000	0.000000
Vcabro1a009992	-	C3019367	-	48	2534	93.991158	53.748135	96.358871
Vcabro1a004048	-	C3021035	-	38	2549	32.843304	18.781195	33.670654
Vcabro1a009578	-	C3021929	-	65	1465	2.721010	1.555989	2.789555
Vcabro1a000322	-	C3024839	+	346	1727	523.022827	299.086639	536.198181
Vcabro1a012210	-	C3027161	-	31	2375	5.879493	3.379771	6.059205
Vcabro1a002146	-	C3028183	-	31	3266	1.380649	0.789514	1.415429
Vcabro1a012241	-	C3028451	+	43	3100	38.267517	21.936489	39.327419
Vcabro1a012235	-	C3028453	-	71	1583	4.092862	3.235129	5.799892
Vcabro1a001984	-	C3029397	+	69	3377	10.427074	7.546113	13.528561
Vcabro1a011738	-	C3031988	+	24	219	4405.120117	2519.034668	4516.088379
Vcabro1a002572	-	C3032040	-	3	3539	79.816650	46.799786	83.901970
Vcabro1a007290	-	C3032790	+	3534	3827	225.019424	128.675659	230.687851
Vcabro1a002032	-	C3033558	+	1662	2364	0.000000	0.000000	0.000000
Vcabro1a003729	-	C3033864	+	1	3456	49.627026	29.475859	52.843891
Vcabro1a006224	-	C3036302	-	3	4461	27.695055	15.837208	28.392717
Vcabro1a007266	-	C3038732	+	1594	5102	8.043401	4.683085	8.395767
Vcabro1a008149	-	C3039774	+	2115	4494	0.081092	0.046372	0.083135
Vcabro1a007910	-	C3039986	-	3	5622	61.652336	37.670101	67.534416
Vcabro1a007911	-	C3039986	+	282	938	16.772850	9.591428	17.195372
Vcabro1a012245	-	C3040534	-	202	944	0.000000	0.000000	0.000000
Vcabro1a012810	-	C3040774	-	67	5972	40.439316	23.124918	41.458015
Vcabro1a003743	-	C3041916	-	5319	5484	0.246988	0.141238	0.253210
Vcabro1a013863	-	C3042254	-	23	6564	37.657032	21.533888	38.605644
Vcabro1a015577	-	C3042876	-	10	6396	10.696734	6.214456	11.141187
Vcabro1a006493	-	C3044050	-	2195	8956	12.495408	7.354374	13.184815
Vcabro1a006492	-	C3044050	+	6681	7308	5.741390	3.283171	5.886020
Vcabro1a006494	-	C3044050	+	7493	7884	15.872047	9.076310	16.271877
Vcabro1a013244	-	C3044432	+	132	1016	127.968597	73.177879	131.192230
