Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	37.154621	13.563866	30.234915
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	22.394176	36.081249	80.427917
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	413.360565	177.498840	395.658783
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	22.756447	14.454227	32.219601
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	18.773024	32.013680	71.360992
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	32.841217	11.989192	26.724844
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	111.997025	42.948097	95.734657
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	276.992859	101.156845	225.486511
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	202.590637	73.958832	164.860001
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	22.026161	8.040990	17.923992
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	91.080627	33.250385	74.117699
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1158.354614	422.875153	942.621704
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	37.358383	13.638253	30.400730
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	89.240082	32.951363	73.451157
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	355.941101	144.585281	322.291901
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	664.590759	245.656876	547.588379
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	206.897705	75.531197	168.364929
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1315.132690	480.109436	1070.201416
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	31.096806	11.352367	25.305313
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	23.237762	8.483303	18.909945
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	963.219360	360.654541	803.927124
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	93.047340	33.968365	75.718140
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	17.844860	6.523155	14.540622
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	12.078794	12.411536	27.666285
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	54.232449	19.798389	44.132156
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	516.947937	188.719803	420.671173
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	125.780312	46.522427	103.702118
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.850115	1.405544	3.133067
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	10.148544	3.704882	8.258471
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	9.940820	3.629049	8.089435
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	4.181531	1.526532	3.402760
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.096959	0.035396	0.078901
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	26.324324	9.610100	21.421661
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	121.111572	44.213642	98.555664
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	15.321453	5.593332	12.467974
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	21.315710	7.809941	17.408968
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	37.533775	16.256437	36.236866
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	72.156967	26.342012	58.718399
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	38.737389	16.592312	36.985561
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	3.786697	1.515112	3.377304
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	491.754913	179.522705	400.170105
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	1.226842	0.447878	0.998354
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	2.404460	0.877785	1.956652
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	89.656273	32.730400	72.958618
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	47.423847	17.641939	39.325260
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	49.555683	18.091064	40.326397
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	25.028578	9.137068	20.367237
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	39.580677	14.449535	32.209141
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	24.583399	8.974548	20.004967
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	52.618336	19.209133	42.818657
