Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	22.371511	7.600168	15.915506
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	21.305794	30.842445	64.587143
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	415.092407	165.634094	346.854218
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	53.323940	30.840790	64.583672
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	23.940130	37.325977	78.164307
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	35.509666	12.063530	25.262232
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	160.140457	57.166553	119.712440
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	401.376221	136.392822	285.620148
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	247.217148	83.985909	175.874832
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	22.710514	7.715335	16.156677
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	90.122932	30.617037	64.115120
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1123.653198	381.733368	799.387634
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	36.892101	12.533178	26.245720
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	77.966278	26.859230	56.245895
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	373.348267	141.156815	295.596405
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	1318.949951	454.047241	950.820068
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	289.003265	98.181709	205.602249
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1163.339233	395.215698	827.620972
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	48.408737	16.445669	34.438866
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	42.020279	14.275350	29.894001
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	1410.605469	491.973877	1030.242188
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	112.529594	38.229145	80.055626
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	18.386526	6.256319	13.101354
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	49.339935	49.032955	102.679878
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	64.035103	21.754341	45.555752
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	589.742737	200.350494	419.553833
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	105.209564	36.221878	75.852219
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	3.326618	1.130136	2.366617
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	15.194250	5.161870	10.809469
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	5.869951	1.994171	4.175992
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	3.115593	1.058446	2.216490
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.416483	0.141490	0.296294
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	49.022522	16.654188	34.875523
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	192.613495	65.435669	137.028778
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	14.639797	4.973509	10.415021
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	29.184656	9.948513	20.833174
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	51.304653	20.769848	43.494125
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	86.694145	29.452188	61.675812
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	41.432884	16.397478	34.337952
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	2.125245	0.782762	1.639181
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	596.585144	202.675034	424.421661
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.511998	0.173939	0.364245
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.108182	0.036752	0.076963
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	1.906865	0.647810	1.356579
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	74.321884	25.249022	52.873962
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	42.523945	14.547658	30.464243
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	50.883797	17.286510	36.199669
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	17.621012	5.986303	12.535913
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	39.985687	13.584148	28.446556
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	39.588993	13.449381	28.164339
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	45.729656	15.535519	32.532921
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	54.895576	18.649412	39.053726
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	65.282425	22.484236	47.084225
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	593.756104	201.713943	422.409027
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	69.492981	23.608521	49.438591
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	13.652048	4.637945	9.712318
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	92.932770	31.571608	66.114082
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	808.828186	274.779358	575.415283
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	1381.555786	469.349365	982.864258
gene-LOC107073967	LOC107073967	NW_015148970.1	+	1118333	1122597	20.279083	6.889317	14.426914
gene-LOC107073978	LOC107073978	NW_015148970.1	+	1123212	1178070	41.830402	14.210844	29.758921
gene-LOC107074002	LOC107074002	NW_015148970.1	-	1184280	1186995	145.673126	49.551094	103.764923
gene-LOC107073993	LOC107073993	NW_015148970.1	-	1187102	1189539	40.599998	13.792845	28.883589
gene-LOC107074019	LOC107074019	NW_015148970.1	+	1189601	1190509	140.960938	47.887989	100.282211
gene-LOC107074025	LOC107074025	NW_015148970.1	+	1190535	1191119	87.497437	29.725086	62.247292
gene-LOC107073986	LOC107073986	NW_015148970.1	+	1192136	1195833	108.397171	36.825256	77.115746
gene-LOC107064696	LOC107064696	NW_015148970.1	-	1199146	1203444	56.673225	19.253326	40.318375
gene-LOC107063614	LOC107063614	NW_015148970.1	-	1203316	1204987	35.294262	11.990352	25.108988
