Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Metap3a000367	-	C12230207	+	150	427	1.762590	26.038445	48.617210
Metap3a005044	-	C12233927	-	164	355	0.932292	13.772591	25.715248
Metap3a012487	-	C12236417	-	1	492	1.006098	14.862916	27.751028
Metap3a008872	-	C12241131	-	86	460	0.293333	4.333358	8.090953
Metap3a012344	-	C12241379	+	1	452	4.586283	67.752380	126.502640
Metap3a011037	-	C12242411	+	1	558	1.881720	27.798330	51.903152
Metap3a010421	-	C12244493	-	1	502	0.581673	8.592957	16.044186
Metap3a012542	-	C12244817	+	5	532	0.573864	8.477595	15.828791
Metap3a011529	-	C12248447	-	283	523	2.556017	37.759605	70.502174
Metap3a008580	-	C12251337	-	1	577	0.278455	4.113568	7.680576
Metap3a010198	-	C12252935	+	145	575	0.000000	0.000000	0.000000
Metap3a004334	-	C12253679	+	1	582	0.527491	7.792535	14.549692
Metap3a009886	-	C12254347	+	37	520	0.407025	6.012912	11.226899
Metap3a006450	-	C12256293	-	182	544	0.000000	0.000000	0.000000
Metap3a005419	-	C12259961	-	1	596	5.608031	82.846489	154.685333
Metap3a007880	-	C12262651	+	20	528	1.486936	21.966251	41.013897
Metap3a000774	-	C12262909	-	95	388	0.367347	5.426755	10.132468
Metap3a004551	-	C12263879	+	1	605	7.573554	111.882828	208.900024
Metap3a005521	-	C12266247	-	160	611	0.000000	0.000000	0.000000
Metap3a005511	-	C12270095	+	1	621	8.972625	132.551071	247.490356
Metap3a009860	-	C12274079	-	120	446	0.100917	1.490830	2.783576
Metap3a012096	-	C12277459	-	193	502	22.623810	334.217712	624.028625
Metap3a002077	-	C12288315	+	213	670	0.189956	2.806188	5.239523
Metap3a006203	-	C12288815	+	98	627	0.000000	0.000000	0.000000
Metap3a003422	-	C12293153	-	117	524	0.000000	0.000000	0.000000
Metap3a012491	-	C12298699	+	67	665	0.000000	0.000000	0.000000
Metap3a009223	-	C12308891	+	1	736	2.569293	37.955730	70.868362
Metap3a002732	-	C12336109	+	1	843	0.000000	0.000000	0.000000
Metap3a002028	-	C12342713	-	27	550	0.000000	0.000000	0.000000
Metap3a006474	-	C12345639	-	1	891	15.613917	230.661743	430.675934
Metap3a012738	-	C12363777	-	61	676	24.737133	365.437469	682.320068
Metap3a001212	-	C12364357	-	34	885	1.860720	27.488100	51.323914
Metap3a002103	-	C12364737	-	509	668	2.237500	33.054207	61.716572
Metap3a006416	-	C12365841	+	21	943	0.452191	6.680141	12.472706
Metap3a002698	-	C12374057	-	438	731	11.074830	163.606583	305.475098
Metap3a003788	-	C12375767	+	50	1094	0.000000	0.000000	0.000000
Metap3a003646	-	C12377225	+	1	1049	0.000000	0.000000	0.000000
Metap3a004151	-	C12392969	+	483	1205	0.000000	0.000000	0.000000
Metap3a007097	-	C12394125	-	17	1164	0.000000	0.000000	0.000000
Metap3a003122	-	C12403847	-	29	955	0.364617	5.386425	10.057167
Metap3a009653	-	C12406589	-	42	1046	3.957214	58.459255	109.151146
Metap3a009623	-	C12410101	-	109	1140	4.101542	60.591381	113.132118
Metap3a004620	-	C12416121	+	1	1698	0.000000	0.000000	0.000000
Metap3a008581	-	C12426519	-	557	1010	11.473568	169.497070	316.473419
Metap3a000285	-	C12428437	-	19	1760	0.335060	4.949785	9.241901
Metap3a011313	-	scaffold1	-	1627	3506	0.000000	0.000000	0.000000
Metap3a011314	-	scaffold1	+	23627	24862	0.000000	0.000000	0.000000
Metap3a011303	-	scaffold1	-	31626	36333	0.000000	0.000000	0.000000
Metap3a011310	-	scaffold1	-	36630	71615	0.978766	14.459145	26.997131
Metap3a011297	-	scaffold1	+	63773	66368	6.381771	94.276825	176.027283
Metap3a011285	-	scaffold1	-	89792	129206	0.511402	7.554855	14.105912
Metap3a011306	-	scaffold1	-	171183	187615	0.000000	0.000000	0.000000
Metap3a011291	-	scaffold1	+	217657	224898	2.433022	35.942619	67.109619
Metap3a011299	-	scaffold1	-	226127	245281	4.009631	59.233601	110.596962
Metap3a011290	-	scaffold1	+	246789	248917	0.000000	0.000000	0.000000
Metap3a011308	-	scaffold1	+	249550	250496	0.000000	0.000000	0.000000
Metap3a011309	-	scaffold1	+	254281	259521	0.000000	0.000000	0.000000
Metap3a011305	-	scaffold1	+	281359	281700	0.000000	0.000000	0.000000
Metap3a011293	-	scaffold1	-	334125	334442	2.955975	43.668121	81.534142
Metap3a011298	-	scaffold1	-	376658	378870	4.368217	64.530930	120.487770
Metap3a011315	-	scaffold1	-	416212	416840	0.316375	4.673754	8.726517
Metap3a011312	-	scaffold1	-	425257	426270	1.012438	14.956576	27.925901
Metap3a011287	-	scaffold1	+	430099	431778	0.000000	0.000000	0.000000
Metap3a011302	-	scaffold1	+	458584	458790	0.000000	0.000000	0.000000
Metap3a011292	-	scaffold1	-	477004	477306	0.570957	8.434650	15.748608
Metap3a011296	-	scaffold1	-	498265	498474	3.990476	58.950623	110.068604
Metap3a011316	-	scaffold1	+	514819	515953	0.000000	0.000000	0.000000
Metap3a011282	-	scaffold1	+	534561	535704	0.113636	1.678725	3.134402
Metap3a011289	-	scaffold1	+	599558	641095	0.000000	0.000000	0.000000
Metap3a011286	-	scaffold1	-	696223	697870	0.000000	0.000000	0.000000
Metap3a011311	-	scaffold1	-	698363	699291	0.000000	0.000000	0.000000
Metap3a011295	-	scaffold1	-	699736	700376	0.000000	0.000000	0.000000
Metap3a011300	-	scaffold1	-	700846	705883	0.267628	3.953623	7.381937
Metap3a011317	-	scaffold1	-	707311	708476	0.000000	0.000000	0.000000
Metap3a011283	-	scaffold1	-	708874	710268	0.000000	0.000000	0.000000
Metap3a011304	-	scaffold1	-	710455	714253	0.000000	0.000000	0.000000
Metap3a011281	-	scaffold1	+	715132	717003	0.000000	0.000000	0.000000
Metap3a011284	-	scaffold1	+	718044	730980	0.000000	0.000000	0.000000
Metap3a011301	-	scaffold1	+	732484	733379	0.000000	0.000000	0.000000
Metap3a011288	-	scaffold1	-	755555	765612	2.991935	44.199348	82.526024
Metap3a011307	-	scaffold1	+	797861	817841	0.000000	0.000000	0.000000
Metap3a011294	-	scaffold1	-	836868	847666	0.000000	0.000000	0.000000
Metap3a006221	-	scaffold10	+	2095	4327	0.000000	0.000000	0.000000
Metap3a006220	-	scaffold10	+	4481	6402	0.000000	0.000000	0.000000
Metap3a006238	-	scaffold10	+	44830	45099	0.000000	0.000000	0.000000
Metap3a006222	-	scaffold10	+	153918	182190	0.000000	0.000000	0.000000
Metap3a006228	-	scaffold10	+	190815	196940	0.000000	0.000000	0.000000
Metap3a006231	-	scaffold10	+	257207	257476	0.000000	0.000000	0.000000
